imagen,pregunta,opcion_a,opcion_b,opcion_c,respuesta_correcta
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-1.jpg,1. ¿Es recomendable la utilización de cojines en los asientos?,"A.Sí, para evitar la fatiga.","B.Sí, mejora la visibilidad y la seguridad cuando se conduce.","C.No, puede afectar a la eficacia del cinturón.",c
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-2.jpg,2. ¿Qué sistema reduce el riesgo de bloqueo de las ruedas en caso de frenazo brusco?,A.El servofreno.,B.La tracción total.,C.El ABS,c
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-3.jpg,"3. Si por circunstancias del tráfico prevé que va a tener que reducir considerablemente la velocidad, ¿qué debe hacer?",A.Circular con la marcha más corta posible.,B.Deberá advertirlo mediante el empleo reiterado de las luces de frenado.,C.Advertirlo mediante señales acústicas.,b
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-4.jpg,"4. En la maniobra de marcha atrás, ¿está exento el conductor del uso del cinturón de seguridad?",A.Sí.,"B.Sí, pero solo en vías urbanas.","C.No, debe llevarlo abrochado siempre.",a
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-5.jpg,"5. Para evitar ruidos excesivos e innecesarios en la conducción, se debe...",A.Circular con el tubo de escape libre.,B.Utilizar el claxon frecuentemente pero sin producir ruidos estridentes o notas musicales.,C.Cuidar de que el tubo de escape y el silenciador del vehículo estén siempre en buen estado.,c
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-6.jpg,"6. Si existe gravilla en la calzada, ¿qué se debe hacer para evitar la rotura del parabrisas?",A.Aumentar la separación con los vehículos que nos preceden.,B.Aumentar la velocidad para disminuir los efectos del impacto.,"C.Nada, porque si el parabrisas está limpio se reduce el riesgo de rotura por gravilla.",a
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-7.jpg,"7. Si mientras circula con su vehículo comienza a nevar, ¿debe extremar la precaución y reducir la velocidad?","A.No, solamente cuando nieve de forma copiosa.","B.Sí, y en el caso de realizar frenadas y aceleraciones lo haré de forma suave y progresiva.","C.Sí, y, obligatoriamente, pondré las cadenas.",b
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-8.jpg,8. Una correcta suspensión del vehículo sirve para:,A.Mantener el vehículo siempre en contacto con el suelo.,B.Transmitir el giro del motor a las ruedas.,C.Mantener inmovilizado el vehículo.,a
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-9.jpg,"9. Si la separación entre los trazos de una línea longitudinal discontinua es sensiblemente más corta que en el caso general, anuncia...",A.La proximidad de un tramo de vía que presenta un riesgo especial.,B.La proximidad de un tramo con una pendiente mayor al cinco por ciento.,C.La proximidad de una travesía.,a
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-10.jpg,"10. El viento por la derecha en los adelantamientos a vehículos grandes, ¿por qué es peligroso?",A.Porque frena mi vehículo y no me deja adelantar.,B.Porque puedo perder el control del vehículo y salirme de la calzada.,C.Porque no me deja ver la calzada.,b
https://revista.dgt.es/Galerias/test/201402/Test-224-preg-11.jpg,"11. En el carril de entrada, ¿cómo debe circular?",A.Deteniéndome antes de la señal.,B.Cediendo el paso a los vehículos que circulan por la autovía.,C.Acelerando porque no estoy obligado a ceder el paso.,b
https://revista.dgt.es/Galerias/test/201404/Test225foto1160x146.jpg,"1. Al cruzarse con el peatón, la distancia lateral que debe dejar el vehículo es...","A.1,50 metros, al menos.","B.1 metro, al menos","C.2 metros, al menos.",A
https://revista.dgt.es/Galerias/test/201404/Test225foto2160x146.jpg,2. Las lámparas del automóvil deben sustituirse...,A.Solamente en caso de rotura.,B.En cuanto disminuya su intensidad luminosa.,C.Antes de pasar la inspección técnica del vehículo.,B
https://revista.dgt.es/Galerias/test/201404/Test225foto3160x146.jpg,3. Esta señal indica...,A.Un peligro.,B.Una obligación.,C.Una prohibición.,A
https://revista.dgt.es/Galerias/test/201404/Test225foto4160x146.jpg,4. La fatiga al volante es un factor de riesgo para la conducción producida por...,A.Conducir sin descanso durante demasiado tiempo.,B.Un diseño muy ergonómico del asiento.,C.Una excesiva ventilación en el interior del vehículo.,A
https://revista.dgt.es/Galerias/test/201404/Test225foto5160x146.jpg,5. ¿Debe facilitar el paso a una ambulancia que utiliza la señal luminosa pero no la señal acústica?,"A.No, porque no circula en servicio urgente.","B.Sí, porque está advirtiendo que circula en servicio urgente.","C.No, porque si no utiliza la señal acústica se debe a que tiene suficiente espacio para pasar.",B
https://revista.dgt.es/Galerias/test/201404/Test225foto6160x146.jpg,6. ¿Por dónde se debe circular en un cambio de rasante de reducida visibilidad?,A.Dejando completamente libre la mitad de la calzada que corresponda a los que pueden circular en sentido contrario.,"B.Por la izquierda, aunque se invada parte del centro de la calzada.",C.Por donde más convenga a mi destino.,A
https://revista.dgt.es/Galerias/test/201404/Test225foto7160x146.jpg,7. Si conduciendo le sorprende una lluvia torrencial...,"A.Debe estacionar en un lugar permitido y seguro, manteniendo encendidas las luces de posición.",B.Debe acelerar para pasar la tormenta.,"C.Debe parar en todo caso, aunque sea en la calzada.",A
https://revista.dgt.es/Galerias/test/201404/Test225foto8160x146.jpg,"8. En el arcén de esta autovía, ¿qué le está permitido?",A.Parar para hablar por teléfono móvil.,B.Inmovilizar el vehículo por emergencia o avería.,C.Adelantar por la derecha,B
https://revista.dgt.es/Galerias/test/201404/Test225foto9160x146.jpg,9. ¿Está permitido circular utilizando solamente el alumbrado de posición del vehículo entre la puesta y la salida del sol?,"A.No, debe utilizarse además el alumbrado de cruce o el de carretera.","B.Sí, en vías de poblado suficientemente iluminadas.","C.Sí, en cualquier vía suficientemente iluminada.",A
